<img src="Afghanistan_Islamic_Emirate.svg">,"Afghanistan (Islamic Emirate)",1738259300551
<img src="Afghanistan_Islamic_Republic.svg">,"Afghanistan (Islamic Republic)",1738259300551
<img src="Albania.svg">,"Albania",1738259300551
<img src="Algeria.svg">,"Algeria",1738259300551
<img src="Andorra.svg">,"Andorra",1738259300551
<img src="Angola.svg">,"Angola",1738259300551
<img src="Antigua_and_Barbuda.svg">,"Antigua and Barbuda",1738259300551
<img src="Argentina.svg">,"Argentina",1738259300551
<img src="Armenia.svg">,"Armenia",1738259300551
<img src="Australia.svg">,"Australia",1738259300551
<img src="Austria.svg">,"Austria",1738259300551
<img src="Azerbaijan.svg">,"Azerbaijan",1738259300551
<img src="Bahamas.svg">,"Bahamas",1738259300551
<img src="Bahrain.svg">,"Bahrain",1738259300551
<img src="Bangladesh.svg">,"Bangladesh",1738259300551
<img src="Barbados.svg">,"Barbados",1738259300551
<img src="Belarus.svg">,"Belarus",1738259300551
<img src="Belgium.svg">,"Belgium",1738259300551
<img src="Belize.svg">,"Belize",1738259300551
<img src="Benin.svg">,"Benin",1738259300551
<img src="Bhutan.svg">,"Bhutan",1738259300551
<img src="Bolivia.svg">,"Bolivia",1738259300551
<img src="Bosnia_and_Herzegovina.svg">,"Bosnia and Herzegovina",1738259300551
<img src="Botswana.svg">,"Botswana",1738259300551
<img src="Brazil.svg">,"Brazil",1738259300551
<img src="Brunei.svg">,"Brunei",1738259300551
<img src="Bulgaria.svg">,"Bulgaria",1738259300551
<img src="Burkina_Faso.svg">,"Burkina Faso",1738259300551
<img src="Burundi.svg">,"Burundi",1738259300551
<img src="Cambodia.svg">,"Cambodia",1738259300551
<img src="Cameroon.svg">,"Cameroon",1738259300551
<img src="Canada.svg">,"Canada",1738259300551
<img src="Cape_Verde.svg">,"Cape Verde",1738259300551
<img src="Central_African_Republic.svg">,"Central African Republic",1738259300551
<img src="Chad.svg">,"Chad",1738259300551
<img src="Chile.svg">,"Chile",1738259300551
<img src="China.svg">,"China",1738259300551
<img src="Colombia.svg">,"Colombia",1738259300551
<img src="Comoros.svg">,"Comoros",1738259300551
<img src="Democratic_Republic_of_the_Congo.svg">,"Democratic Republic of the Congo",1738259300551
<img src="Republic_of_the_Congo.svg">,"Republic of the Congo",1738259300551
<img src="Costa_Rica.svg">,"Costa Rica",1738259300551
<img src="Croatia.svg">,"Croatia",1738259300551
<img src="Cuba.svg">,"Cuba",1738259300551
<img src="Cyprus.svg">,"Cyprus",1738259300551
<img src="Czech_Republic.svg">,"Czech Republic",1738259300551
<img src="Denmark.svg">,"Denmark",1738259300551
<img src="Djibouti.svg">,"Djibouti",1738259300551
<img src="Dominica.svg">,"Dominica",1738259300551
<img src="Dominican_Republic.svg">,"Dominican Republic",1738259300551
<img src="East_Timor.svg">,"East Timor",1738259300551
<img src="Ecuador.svg">,"Ecuador",1738259300551
<img src="Egypt.svg">,"Egypt",1738259300551
<img src="El_Salvador.svg">,"El Salvador",1738259300551
<img src="Equatorial_Guinea.svg">,"Equatorial Guinea",1738259300551
<img src="Eritrea.svg">,"Eritrea",1738259300551
<img src="Estonia.svg">,"Estonia",1738259300551
<img src="Eswatini.svg">,"Eswatini",1738259300551
<img src="Ethiopia.svg">,"Ethiopia",1738259300551
<img src="Fiji.svg">,"Fiji",1738259300551
<img src="Finland.svg">,"Finland",1738259300551
<img src="France.svg">,"France",1738259300551
<img src="Gabon.svg">,"Gabon",1738259300551
<img src="The_Gambia.svg">,"The Gambia",1738259300551
<img src="Georgia.svg">,"Georgia",1738259300551
<img src="Germany.svg">,"Germany",1738259300551
<img src="Ghana.svg">,"Ghana",1738259300551
<img src="Greece.svg">,"Greece",1738259300551
<img src="Grenada.svg">,"Grenada",1738259300551
<img src="Guatemala.svg">,"Guatemala",1738259300551
<img src="Guinea.svg">,"Guinea",1738259300551
<img src="Guinea-Bissau.svg">,"Guinea-Bissau",1738259300551
<img src="Guyana.svg">,"Guyana",1738259300551
<img src="Haiti.svg">,"Haiti",1738259300551
<img src="Honduras.svg">,"Honduras",1738259300551
<img src="Hungary.svg">,"Hungary",1738259300551
<img src="Iceland.svg">,"Iceland",1738259300551
<img src="India.svg">,"India",1738259300551
<img src="Indonesia.svg">,"Indonesia",1738259300551
<img src="Iran.svg">,"Iran",1738259300551
<img src="Iraq.svg">,"Iraq",1738259300551
<img src="Ireland.svg">,"Ireland",1738259300551
<img src="Israel.svg">,"Israel",1738259300551
<img src="Italy.svg">,"Italy",1738259300551
<img src="Ivory_Coast.svg">,"Ivory Coast",1738259300551
<img src="Jamaica.svg">,"Jamaica",1738259300551
